"c_pair","RCCA1"
"c_17_20",0
"c_18_20",0
"c_19_20",0
"c_1_21",0
"c_2_21",0
"c_3_21",0
"c_4_21",0
"c_5_21",0
"c_6_21",0
"c_7_21",0
"c_8_21",0
"c_9_21",0
"c_10_21",0
"c_11_21",0
"c_12_21",0
"c_13_21",0
"c_14_21",0
"c_15_21",0
"c_16_21",0
"c_17_21",0
"c_18_21",0
"c_19_21",0
"c_20_21",0
"c_1_22",0
"c_2_22",0
"c_3_22",0
"c_4_22",0
"c_5_22",0
"c_6_22",0
"c_7_22",0
"c_8_22",0
"c_9_22",0
"c_10_22",0
"c_11_22",-0.0239328133816171
"c_12_22",0
"c_13_22",0
"c_14_22",0
"c_15_22",0
"c_16_22",0
"c_17_22",0
"c_18_22",0
"c_19_22",0
"c_20_22",0
"c_21_22",0
"c_1_23",0
"c_2_23",0
"c_3_23",0
"c_4_23",0
"c_5_23",0
"c_6_23",0
"c_7_23",0
"c_8_23",0
"c_9_23",0
"c_10_23",0
"c_11_23",0
"c_12_23",0
"c_13_23",0
"c_14_23",0
"c_15_23",0
"c_16_23",0
"c_17_23",0
"c_18_23",0
"c_19_23",0
"c_20_23",0
"c_21_23",0
"c_22_23",0
"c_1_24",0
"c_2_24",0
"c_3_24",0
"c_4_24",0
"c_5_24",0
"c_6_24",0
"c_7_24",0
"c_8_24",0
"c_9_24",0
"c_10_24",0
"c_11_24",0
"c_12_24",0
"c_13_24",0
"c_14_24",0
"c_15_24",0
"c_16_24",0
"c_17_24",0
"c_18_24",0
"c_19_24",0
"c_20_24",0
"c_21_24",0
"c_22_24",0
"c_23_24",0
"c_1_25",0
"c_2_25",0
"c_3_25",0
"c_4_25",0
"c_5_25",0
"c_6_25",0
"c_7_25",0
"c_8_25",0
"c_9_25",0
"c_10_25",0
"c_11_25",0
"c_12_25",0
"c_13_25",0
"c_14_25",0
"c_15_25",0
"c_16_25",0
"c_17_25",0
"c_18_25",0
"c_19_25",0
"c_20_25",0
"c_21_25",0
"c_22_25",0
"c_23_25",0
"c_24_25",0
"c_1_26",0
"c_2_26",0
"c_3_26",0
"c_4_26",0
"c_5_26",0
"c_6_26",0
"c_7_26",0
"c_8_26",0
"c_9_26",0
"c_10_26",0
"c_11_26",0
"c_12_26",0
"c_13_26",0
"c_14_26",0
"c_15_26",0
"c_16_26",0
"c_17_26",0
"c_18_26",0
"c_19_26",0
"c_20_26",0
"c_21_26",0
"c_22_26",0
"c_23_26",0
"c_24_26",0
"c_25_26",0
"c_1_27",0
"c_2_27",0
"c_3_27",0
"c_4_27",0
"c_5_27",0
"c_6_27",0
"c_7_27",0
"c_8_27",0
"c_9_27",0
"c_10_27",0
"c_11_27",0
"c_12_27",0
"c_13_27",0
"c_14_27",0
"c_15_27",0
"c_16_27",0
"c_17_27",0
"c_18_27",0
"c_19_27",0
"c_20_27",0
"c_21_27",0
"c_22_27",0
"c_23_27",0
"c_24_27",0
"c_25_27",0
"c_26_27",0
"c_1_28",0
"c_2_28",0
"c_3_28",0
"c_4_28",0
"c_5_28",0
"c_6_28",0
"c_7_28",0
"c_8_28",0
"c_9_28",0
"c_10_28",0
"c_11_28",0
"c_12_28",0
"c_13_28",0
"c_14_28",0
"c_15_28",0
"c_16_28",0
"c_17_28",0
"c_18_28",0
"c_19_28",0
"c_20_28",0
"c_21_28",0
"c_22_28",0
"c_23_28",0
"c_24_28",0
"c_25_28",0
"c_26_28",0
"c_27_28",0
"c_1_29",0
"c_2_29",0
"c_3_29",0
"c_4_29",0
"c_5_29",0
"c_6_29",0
"c_7_29",0
"c_8_29",0
"c_9_29",0
"c_10_29",0
"c_11_29",0
"c_12_29",0
"c_13_29",0
"c_14_29",0
"c_15_29",0
"c_16_29",0
"c_17_29",0
"c_18_29",0
"c_19_29",0
"c_20_29",0
"c_21_29",0
"c_22_29",0
"c_23_29",0
"c_24_29",0
"c_25_29",0
"c_26_29",0
"c_27_29",0
"c_28_29",0
"c_1_30",0
"c_2_30",0
"c_3_30",0
"c_4_30",0
"c_5_30",0
"c_6_30",0
"c_7_30",0
"c_8_30",0
"c_9_30",0
"c_10_30",0
"c_11_30",0
"c_12_30",0
"c_13_30",0
"c_14_30",0
"c_15_30",0
"c_16_30",0
"c_17_30",0
"c_18_30",0
"c_19_30",0
"c_20_30",0
"c_21_30",0
"c_22_30",0
"c_23_30",0
"c_24_30",0
"c_25_30",0
"c_26_30",0
"c_27_30",0
"c_28_30",0
"c_29_30",0
"c_1_31",0
"c_2_31",0
"c_3_31",0
"c_4_31",0
"c_5_31",0
"c_6_31",0
"c_7_31",0
"c_8_31",0
"c_9_31",0
"c_10_31",0
"c_11_31",0
"c_12_31",0
"c_13_31",0
"c_14_31",0
"c_15_31",0
"c_16_31",0
"c_17_31",0
"c_18_31",0
"c_19_31",0
"c_20_31",0
"c_21_31",0
"c_22_31",0
"c_23_31",0
"c_24_31",0
"c_25_31",0
"c_26_31",0
"c_27_31",0
"c_28_31",0
"c_29_31",0
"c_30_31",0
"c_1_32",0
"c_2_32",0
"c_3_32",0
"c_4_32",0
"c_5_32",0
"c_6_32",0
"c_7_32",0
"c_8_32",0
"c_9_32",0
"c_10_32",0
"c_11_32",0
"c_12_32",0
"c_13_32",0
"c_14_32",0
"c_15_32",0
"c_16_32",0
"c_17_32",0
"c_18_32",0
"c_19_32",0
"c_20_32",0
"c_21_32",0
"c_22_32",0
"c_23_32",0
"c_24_32",0
"c_25_32",0
"c_26_32",0
"c_27_32",0
"c_28_32",0
"c_29_32",0
"c_30_32",0
"c_31_32",0
"c_1_33",0
"c_2_33",0
"c_3_33",0
"c_4_33",0
"c_5_33",0
"c_6_33",0
"c_7_33",0
"c_8_33",0
"c_9_33",0
"c_10_33",0
"c_11_33",0
"c_12_33",0
"c_13_33",0
"c_14_33",0
"c_15_33",0
"c_16_33",0
"c_17_33",0
"c_18_33",0
"c_19_33",0
"c_20_33",0
"c_21_33",-0.0207282350968401
"c_22_33",0
"c_23_33",0
"c_24_33",0
"c_25_33",0
"c_26_33",0
"c_27_33",0
"c_28_33",0
"c_29_33",0
"c_30_33",0
"c_31_33",0
"c_32_33",0
"c_1_34",0
"c_2_34",0
"c_3_34",0
"c_4_34",0
"c_5_34",0
"c_6_34",0
"c_7_34",0
"c_8_34",0
"c_9_34",0
"c_10_34",0
"c_11_34",0
"c_12_34",0
"c_13_34",0
"c_14_34",0
"c_15_34",0
"c_16_34",0
"c_17_34",0
"c_18_34",0
"c_19_34",0
"c_20_34",0
"c_21_34",0
"c_22_34",0
"c_23_34",0
"c_24_34",0
"c_25_34",0
"c_26_34",0
"c_27_34",0
"c_28_34",0
"c_29_34",0
"c_30_34",0
"c_31_34",0
"c_32_34",0
"c_33_34",0
"c_1_35",0
"c_2_35",0
"c_3_35",0
"c_4_35",0
"c_5_35",0
"c_6_35",0
"c_7_35",0
"c_8_35",0
"c_9_35",0
"c_10_35",0
"c_11_35",0
"c_12_35",0
"c_13_35",0
"c_14_35",0
"c_15_35",0
"c_16_35",0
"c_17_35",0
"c_18_35",0
"c_19_35",0
"c_20_35",0
"c_21_35",0
"c_22_35",0
"c_23_35",0
"c_24_35",0
"c_25_35",0
"c_26_35",0
"c_27_35",0
"c_28_35",0
"c_29_35",0
"c_30_35",0
"c_31_35",0
"c_32_35",0
"c_33_35",0
"c_34_35",0
"c_1_36",0
"c_2_36",0
"c_3_36",0
"c_4_36",0
"c_5_36",0
"c_6_36",0
"c_7_36",0
"c_8_36",0
"c_9_36",0
"c_10_36",0
"c_11_36",0
"c_12_36",0
"c_13_36",0
"c_14_36",0
"c_15_36",0
"c_16_36",0
"c_17_36",0
"c_18_36",0
"c_19_36",0
"c_20_36",0
"c_21_36",0
"c_22_36",0
"c_23_36",0
"c_24_36",0
"c_25_36",0
"c_26_36",0
"c_27_36",0
"c_28_36",0
"c_29_36",0
"c_30_36",0
"c_31_36",0
"c_32_36",0
"c_33_36",0
"c_34_36",0
"c_35_36",0
"c_1_37",0
"c_2_37",0
"c_3_37",0
"c_4_37",0
"c_5_37",0
"c_6_37",0
"c_7_37",0
"c_8_37",0
"c_9_37",0
"c_10_37",0
"c_11_37",0
"c_12_37",0
"c_13_37",0
"c_14_37",0
"c_15_37",0
"c_16_37",0
"c_17_37",0
"c_18_37",0
"c_19_37",0
"c_20_37",0
"c_21_37",0
"c_22_37",0
"c_23_37",0
"c_24_37",0
"c_25_37",-0.00796405640732957
"c_26_37",0
"c_27_37",0
"c_28_37",0
"c_29_37",0
"c_30_37",0
"c_31_37",0
"c_32_37",0
"c_33_37",0
"c_34_37",0
"c_35_37",0
"c_36_37",0
"c_1_38",0
"c_2_38",0
"c_3_38",0
"c_4_38",0
"c_5_38",0
"c_6_38",0
"c_7_38",0
"c_8_38",0
"c_9_38",0
"c_10_38",0
"c_11_38",0
"c_12_38",0
"c_13_38",0
"c_14_38",0
"c_15_38",0
"c_16_38",0
"c_17_38",0
"c_18_38",0
"c_19_38",0
"c_20_38",0
"c_21_38",0
"c_22_38",0
"c_23_38",0
"c_24_38",0
"c_25_38",0
"c_26_38",0
"c_27_38",0
"c_28_38",0
"c_29_38",0
"c_30_38",0
"c_31_38",0
"c_32_38",0
"c_33_38",0
"c_34_38",0
"c_35_38",0
"c_36_38",0
"c_37_38",0
"c_1_39",0
"c_2_39",0
"c_3_39",0
"c_4_39",0
"c_5_39",0
"c_6_39",0
"c_7_39",0
"c_8_39",0
"c_9_39",0
"c_10_39",0
"c_11_39",0
"c_12_39",0
"c_13_39",0
"c_14_39",0
"c_15_39",0
"c_16_39",0
"c_17_39",0
"c_18_39",0
"c_19_39",0
"c_20_39",0
"c_21_39",0
"c_22_39",0
"c_23_39",0
"c_24_39",0
"c_25_39",0
"c_26_39",0
"c_27_39",0
"c_28_39",0
"c_29_39",0
"c_30_39",0
"c_31_39",0
"c_32_39",0
"c_33_39",0
"c_34_39",0
"c_35_39",0
"c_36_39",0
"c_37_39",0
"c_38_39",0
"c_1_40",0
"c_2_40",0
"c_3_40",0
"c_4_40",0
"c_5_40",0
"c_6_40",0
"c_7_40",0
"c_8_40",0
"c_9_40",0
"c_10_40",0
"c_11_40",0
"c_12_40",0
"c_13_40",0
"c_14_40",0
"c_15_40",0
"c_16_40",0
"c_17_40",0
"c_18_40",0
"c_19_40",0
"c_20_40",0
"c_21_40",0
"c_22_40",0
"c_23_40",0
"c_24_40",0
"c_25_40",0
"c_26_40",0
"c_27_40",0
"c_28_40",0
"c_29_40",0
"c_30_40",0
"c_31_40",0
"c_32_40",0
"c_33_40",0
"c_34_40",0
"c_35_40",0
"c_36_40",0
"c_37_40",0
"c_38_40",0
"c_39_40",0
"c_1_41",0
"c_2_41",0
"c_3_41",0
"c_4_41",0
"c_5_41",0
"c_6_41",0
"c_7_41",0
"c_8_41",0
"c_9_41",0
"c_10_41",0
"c_11_41",0
"c_12_41",0
"c_13_41",0
"c_14_41",0
"c_15_41",0
"c_16_41",0
"c_17_41",0
"c_18_41",0
"c_19_41",0
"c_20_41",0
"c_21_41",0
"c_22_41",0
"c_23_41",0
"c_24_41",0
"c_25_41",0
"c_26_41",0
"c_27_41",0
"c_28_41",0
"c_29_41",0
"c_30_41",0
"c_31_41",0
"c_32_41",0
"c_33_41",0
"c_34_41",0
"c_35_41",0
"c_36_41",0
"c_37_41",0
"c_38_41",0
"c_39_41",0
"c_40_41",0
"c_1_42",0
"c_2_42",0
"c_3_42",0
"c_4_42",0
"c_5_42",0
"c_6_42",0
"c_7_42",0
"c_8_42",0
"c_9_42",0
"c_10_42",0
"c_11_42",0
"c_12_42",0
"c_13_42",0
"c_14_42",0
"c_15_42",0
"c_16_42",0
"c_17_42",0
"c_18_42",0
"c_19_42",0
"c_20_42",0
"c_21_42",0
"c_22_42",0
"c_23_42",0
"c_24_42",0
"c_25_42",0
"c_26_42",0
"c_27_42",0
"c_28_42",0
"c_29_42",0
"c_30_42",0
"c_31_42",0
"c_32_42",0
"c_33_42",0
"c_34_42",0
"c_35_42",0
"c_36_42",0
"c_37_42",0
"c_38_42",0
"c_39_42",0
"c_40_42",0
"c_41_42",0
"c_1_43",0
"c_2_43",0
"c_3_43",0
"c_4_43",0
"c_5_43",0
"c_6_43",0
"c_7_43",0
"c_8_43",0
"c_9_43",0
"c_10_43",0
"c_11_43",0
"c_12_43",0
"c_13_43",0
"c_14_43",0
"c_15_43",0
"c_16_43",0
"c_17_43",0
"c_18_43",0
"c_19_43",0
"c_20_43",0
"c_21_43",0
"c_22_43",0
"c_23_43",0
"c_24_43",0
"c_25_43",0
"c_26_43",0
"c_27_43",0
"c_28_43",0
"c_29_43",0
"c_30_43",0
"c_31_43",0
"c_32_43",0
"c_33_43",0
"c_34_43",0
"c_35_43",0
"c_36_43",0
"c_37_43",0
"c_38_43",0
"c_39_43",0
"c_40_43",0
"c_41_43",0
"c_42_43",0
"c_1_44",0
"c_2_44",0
"c_3_44",0
"c_4_44",0
"c_5_44",0
"c_6_44",0
"c_7_44",0
"c_8_44",0
"c_9_44",0
"c_10_44",0
"c_11_44",0
"c_12_44",0
"c_13_44",0
"c_14_44",0
"c_15_44",0
"c_16_44",0
"c_17_44",0
"c_18_44",0
"c_19_44",0
"c_20_44",0
"c_21_44",0
"c_22_44",0
"c_23_44",0
"c_24_44",0
"c_25_44",0
"c_26_44",0
"c_27_44",0
"c_28_44",0
"c_29_44",0
"c_30_44",0
"c_31_44",0
"c_32_44",0
"c_33_44",0
"c_34_44",0
"c_35_44",0
"c_36_44",0
"c_37_44",0
"c_38_44",0
"c_39_44",0
"c_40_44",0
"c_41_44",0
"c_42_44",0
"c_43_44",0
"c_1_45",0
"c_2_45",0
"c_3_45",0
"c_4_45",0
"c_5_45",0
"c_6_45",0
"c_7_45",-0.0127933748489792
"c_8_45",0
"c_9_45",0
"c_10_45",0
"c_11_45",-0.0321176137291418
"c_12_45",0
"c_13_45",0
"c_14_45",0
"c_15_45",0
"c_16_45",-0.0359027371474342
"c_17_45",0
"c_18_45",0
"c_19_45",0
"c_20_45",0
"c_21_45",0
"c_22_45",0
"c_23_45",0
"c_24_45",0
"c_25_45",0
"c_26_45",0
"c_27_45",0
"c_28_45",0
"c_29_45",0
"c_30_45",0
"c_31_45",0
"c_32_45",0
"c_33_45",0
"c_34_45",0
"c_35_45",0
"c_36_45",0
"c_37_45",0
"c_38_45",0
"c_39_45",0
"c_40_45",0
"c_41_45",0
"c_42_45",0
"c_43_45",0
"c_44_45",0
"c_1_46",0
"c_2_46",0
"c_3_46",0
"c_4_46",0
"c_5_46",0
"c_6_46",0
"c_7_46",0
"c_8_46",0
"c_9_46",0
"c_10_46",0
"c_11_46",0
"c_12_46",0
"c_13_46",0
"c_14_46",0
"c_15_46",0
"c_16_46",0
"c_17_46",0
"c_18_46",0
"c_19_46",0
"c_20_46",0
"c_21_46",0
"c_22_46",0
"c_23_46",0
"c_24_46",0
"c_25_46",0
"c_26_46",0
"c_27_46",0
"c_28_46",0
"c_29_46",0
"c_30_46",0
"c_31_46",0
"c_32_46",0
"c_33_46",0
"c_34_46",0
"c_35_46",0
"c_36_46",0
"c_37_46",0
"c_38_46",0
"c_39_46",0
"c_40_46",0
"c_41_46",0
"c_42_46",0
"c_43_46",0
"c_44_46",0
"c_45_46",0
"c_1_47",0
"c_2_47",0
"c_3_47",0
"c_4_47",0
"c_5_47",0
"c_6_47",0
"c_7_47",0
"c_8_47",0
"c_9_47",0
"c_10_47",0
"c_11_47",0
"c_12_47",0
"c_13_47",0
"c_14_47",0
"c_15_47",0
"c_16_47",0
"c_17_47",0
"c_18_47",0
"c_19_47",0
"c_20_47",0
"c_21_47",0
"c_22_47",0
"c_23_47",0
"c_24_47",0
"c_25_47",0
"c_26_47",0
"c_27_47",0
"c_28_47",0
"c_29_47",0
"c_30_47",0
"c_31_47",0
"c_32_47",0
"c_33_47",0
"c_34_47",0
"c_35_47",0
"c_36_47",0
"c_37_47",0
"c_38_47",0
"c_39_47",0
"c_40_47",0
"c_41_47",0
"c_42_47",0
"c_43_47",0
"c_44_47",0
"c_45_47",0
"c_46_47",0
"c_1_48",0
"c_2_48",0
"c_3_48",0
"c_4_48",0
"c_5_48",0
"c_6_48",0
"c_7_48",0
"c_8_48",0
"c_9_48",0
"c_10_48",0
"c_11_48",0
"c_12_48",0
"c_13_48",0
"c_14_48",0
"c_15_48",0
"c_16_48",0
"c_17_48",0
"c_18_48",0
"c_19_48",0
"c_20_48",0
"c_21_48",0
"c_22_48",0
"c_23_48",0
"c_24_48",0
"c_25_48",0
"c_26_48",0
"c_27_48",0
"c_28_48",0
"c_29_48",0
"c_30_48",0
"c_31_48",0
"c_32_48",0
"c_33_48",0
"c_34_48",0
"c_35_48",0
"c_36_48",0
"c_37_48",0
"c_38_48",0
"c_39_48",0
"c_40_48",0
"c_41_48",0
"c_42_48",0
"c_43_48",0
"c_44_48",0
"c_45_48",0
"c_46_48",0
"c_47_48",0
"c_1_49",0
"c_2_49",0
"c_3_49",0
"c_4_49",0
"c_5_49",0
"c_6_49",0
"c_7_49",0
"c_8_49",0
"c_9_49",0
"c_10_49",0
"c_11_49",0
"c_12_49",0
"c_13_49",0
"c_14_49",0
"c_15_49",0
"c_16_49",0
"c_17_49",0
"c_18_49",0
"c_19_49",0
"c_20_49",0
"c_21_49",0
"c_22_49",0
"c_23_49",0
"c_24_49",0
"c_25_49",0
"c_26_49",0
"c_27_49",0
"c_28_49",0
"c_29_49",0
"c_30_49",0
"c_31_49",0
"c_32_49",0
"c_33_49",0
"c_34_49",0.00611461372396649
"c_35_49",0
"c_36_49",0
"c_37_49",0
"c_38_49",0
"c_39_49",0
"c_40_49",0
"c_41_49",0
"c_42_49",0
"c_43_49",0
"c_44_49",0
"c_45_49",0
"c_46_49",0
"c_47_49",0
"c_48_49",0.000293240359779561
"c_1_50",0
"c_2_50",0
"c_3_50",0
"c_4_50",0
"c_5_50",0
"c_6_50",0
"c_7_50",0
"c_8_50",0
"c_9_50",0
"c_10_50",0
"c_11_50",0
"c_12_50",0
"c_13_50",0
"c_14_50",0
"c_15_50",0
"c_16_50",0
"c_17_50",0
"c_18_50",0
"c_19_50",0
"c_20_50",0
"c_21_50",0
"c_22_50",0
"c_23_50",0
"c_24_50",0
"c_25_50",0
"c_26_50",0
"c_27_50",0
"c_28_50",0
"c_29_50",0
"c_30_50",0
"c_31_50",0
"c_32_50",0
"c_33_50",0
"c_34_50",0
"c_35_50",0
"c_36_50",0
"c_37_50",0
"c_38_50",0
"c_39_50",0
"c_40_50",0
"c_41_50",0
"c_42_50",0
"c_43_50",0
"c_44_50",0
"c_45_50",0
"c_46_50",0
"c_47_50",0
"c_48_50",0
"c_49_50",0
"c_1_51",0
"c_2_51",0
"c_3_51",0
"c_4_51",0
"c_5_51",0
"c_6_51",0
"c_7_51",0
"c_8_51",0
"c_9_51",0
"c_10_51",0
"c_11_51",0
"c_12_51",0
"c_13_51",0
"c_14_51",0
"c_15_51",0
"c_16_51",0
"c_17_51",0
"c_18_51",0
"c_19_51",0
"c_20_51",0
"c_21_51",0
"c_22_51",0
"c_23_51",0
"c_24_51",0
"c_25_51",0
"c_26_51",0
"c_27_51",0
"c_28_51",0
"c_29_51",0
"c_30_51",0
"c_31_51",0
"c_32_51",0
"c_33_51",0
"c_34_51",0
"c_35_51",0
"c_36_51",0
"c_37_51",0
"c_38_51",0
"c_39_51",0
"c_40_51",0
"c_41_51",0
"c_42_51",0
"c_43_51",0
"c_44_51",0
"c_45_51",0
"c_46_51",0
"c_47_51",0
"c_48_51",0
"c_49_51",0
"c_50_51",0
"c_1_52",0
"c_2_52",0
"c_3_52",0
"c_4_52",0
"c_5_52",0
"c_6_52",0
"c_7_52",0
"c_8_52",0
"c_9_52",0
"c_10_52",0
"c_11_52",0
"c_12_52",0
"c_13_52",0
"c_14_52",0
"c_15_52",0
"c_16_52",0
"c_17_52",0
"c_18_52",0
"c_19_52",0
"c_20_52",0
"c_21_52",0
"c_22_52",0
"c_23_52",0
"c_24_52",0
"c_25_52",0
"c_26_52",0
"c_27_52",0
"c_28_52",0
"c_29_52",0
"c_30_52",0
"c_31_52",0
"c_32_52",0
"c_33_52",0
"c_34_52",0
"c_35_52",0
"c_36_52",0
"c_37_52",0
"c_38_52",0
"c_39_52",0
"c_40_52",0
"c_41_52",0
"c_42_52",0
"c_43_52",0
"c_44_52",0
"c_45_52",0
"c_46_52",0
"c_47_52",0
"c_48_52",0
"c_49_52",0
"c_50_52",0
"c_51_52",0
"c_1_53",0
"c_2_53",0
"c_3_53",0
"c_4_53",0
"c_5_53",0
"c_6_53",0
"c_7_53",0
"c_8_53",0
"c_9_53",0
"c_10_53",0
"c_11_53",0
"c_12_53",0
"c_13_53",0
"c_14_53",0
"c_15_53",0
"c_16_53",0
"c_17_53",0
"c_18_53",0
"c_19_53",0
"c_20_53",0
"c_21_53",0
"c_22_53",0
"c_23_53",0
"c_24_53",0
"c_25_53",0
"c_26_53",0
"c_27_53",0
"c_28_53",0
"c_29_53",0
"c_30_53",0
"c_31_53",0
"c_32_53",0
"c_33_53",0
"c_34_53",0
"c_35_53",0
"c_36_53",0
"c_37_53",0
"c_38_53",0
"c_39_53",0
"c_40_53",0
"c_41_53",0
"c_42_53",0
"c_43_53",0
"c_44_53",0
"c_45_53",0
"c_46_53",0
"c_47_53",0
"c_48_53",0
"c_49_53",0
"c_50_53",0
"c_51_53",0
"c_52_53",0
"c_1_54",0
"c_2_54",0
"c_3_54",0
"c_4_54",0
"c_5_54",0
"c_6_54",0
"c_7_54",0
"c_8_54",0
"c_9_54",0
"c_10_54",0
"c_11_54",0
"c_12_54",0
"c_13_54",0
"c_14_54",0
"c_15_54",0
"c_16_54",0
"c_17_54",0
"c_18_54",0
"c_19_54",0
"c_20_54",0
"c_21_54",0
"c_22_54",0
"c_23_54",0
"c_24_54",0
"c_25_54",0
"c_26_54",0
"c_27_54",0
"c_28_54",0
"c_29_54",0
"c_30_54",0
"c_31_54",0
"c_32_54",0
"c_33_54",0
"c_34_54",0
"c_35_54",0
"c_36_54",0
"c_37_54",0
"c_38_54",0
"c_39_54",0
"c_40_54",0
"c_41_54",0
"c_42_54",0
"c_43_54",0
"c_44_54",0
"c_45_54",0
"c_46_54",0
"c_47_54",0
"c_48_54",0
"c_49_54",0
"c_50_54",0
"c_51_54",0
"c_52_54",0
"c_53_54",0
"c_1_55",0
"c_2_55",0
"c_3_55",0
"c_4_55",0
"c_5_55",0
"c_6_55",0
"c_7_55",0
"c_8_55",0
"c_9_55",0
"c_10_55",0
"c_11_55",0
"c_12_55",0
"c_13_55",0
"c_14_55",0
"c_15_55",0
"c_16_55",0
"c_17_55",0
"c_18_55",0
"c_19_55",0
"c_20_55",0
"c_21_55",0
"c_22_55",0
"c_23_55",0
"c_24_55",0
"c_25_55",0
"c_26_55",0
"c_27_55",0
"c_28_55",0
"c_29_55",0
"c_30_55",0
"c_31_55",0
"c_32_55",0
"c_33_55",0
"c_34_55",0
"c_35_55",0
"c_36_55",0
"c_37_55",0
"c_38_55",0
"c_39_55",0
"c_40_55",0
"c_41_55",0
"c_42_55",0
"c_43_55",0
"c_44_55",0
"c_45_55",0
"c_46_55",0
"c_47_55",0
"c_48_55",0
"c_49_55",0
"c_50_55",0
"c_51_55",0
"c_52_55",0
"c_53_55",0
"c_54_55",0
"c_1_56",0
"c_2_56",0
"c_3_56",0
"c_4_56",0
"c_5_56",0
"c_6_56",0
"c_7_56",0
"c_8_56",0
"c_9_56",0
"c_10_56",0
"c_11_56",0
"c_12_56",0
"c_13_56",0
"c_14_56",0
"c_15_56",0
"c_16_56",0
"c_17_56",0
"c_18_56",0
"c_19_56",0
"c_20_56",0
"c_21_56",0
"c_22_56",0
"c_23_56",0
"c_24_56",0
"c_25_56",0
"c_26_56",0
"c_27_56",0
"c_28_56",0
"c_29_56",0
"c_30_56",0
"c_31_56",0
"c_32_56",0
"c_33_56",-0.0193686773858712
"c_34_56",0
"c_35_56",0
"c_36_56",0
"c_37_56",0
"c_38_56",0
"c_39_56",0
"c_40_56",0
"c_41_56",0
"c_42_56",0
"c_43_56",0
"c_44_56",0
"c_45_56",0
"c_46_56",0
"c_47_56",0
"c_48_56",0
"c_49_56",0
"c_50_56",0
"c_51_56",0
"c_52_56",0
"c_53_56",0
"c_54_56",0
"c_55_56",0
"c_1_57",0
"c_2_57",0
"c_3_57",0
"c_4_57",0
